,,,"Post","Post",,"BackLeg"," ",,"AheadLeg",,,
3,80,"PLA"," ",41.75,"GOLD RUN SAFETY ROADSIDE   REST AREA (ELEV.3080 FEET)                                                         ","      ","       ","       ","      ","       ","       ",
3,80,"PLA"," ",42.19,"SAWMILL INTERCHANGE (TO GOLD RUN)                                                                             ",3650,30500,26500,3600,29500,25500,
3,80,"PLA"," ",43.17,"MONTE VISTA INTERCHANGE                                                                                       ",3600,29500,25500,3550,28500,25000,
3,80,"PLA"," ",44.75,"ALTA ROAD INTERCHANGE                                                                                         ",3550,28500,25000,3500,28500,24000,
3,80,"PLA"," ",46.31,"CRYSTAL SPRINGS ROAD INTERCHANGE                                                                              ",3500,28500,24000,3500,28500,23500,
3,80,"PLA"," ",46.94,"BAXTER INTERCHANGE                                                                                            ",3500,28500,23500,3500,28500,23000,
3,80,"PLA"," ",49,"DRUM FOREBAY ROAD INTERCHANGE                                                                                 ",3500,28500,23000,3500,28500,23000,
3,80,"PLA"," ",53.36,"BLUE CANYON ROAD INTERCHANGE                                                                                  ",3500,28500,23000,3500,29000,23000,
3,80,"PLA"," ",54.81,"PUTTS LAKE INTERCHANGE                                                                                        ",3500,29000,23000,3500,31000,23700,
3,80,"PLA","R",56.06,"CARPENTER FLAT INTERCHANGE                                                                                    ",3500,31000,23700,3500,31000,23500,
3,80,"PLA","R",58.71,"NEVADA COUNTY LINE                                                                                            ","      ","       ","       ","      ","       ","       ",
3,80,"PLA","R",58.84,"YUBA GAP INTERCHANGE                                                                                          ",3500,31000,23500,3500,31500,24000,
3,80,"PLA","R",59.54,"JCT. RTE. 20 WEST                                                                                             ",3500,31500,24000,4100,33500,25500,
3,80,"PLA","R",62.03,"CARYLE ROAD, INDIAN   SPRINGS INTERCHANGE                                                                     ",4100,33500,25500,4200,33500,25500,
3,80,"PLA","R",62.75,"PLACER COUNTY LINE                                                                                            ","      ","       ","       ","      ","       ","       ",
3,80,"PLA","R",63.52,"CISCO GROVE, CISCO INTERCHANGE                                                                                ",3950,35000,26500,4000,35500,27000,
3,80,"PLA","R",66.2,"HAMPSHIRE ROCKS INTERCHANGE                                                                                   ",4000,35500,27000,4400,38500,27500,
3,80,"PLA","R",66.92,"MILEPOST EQUATION   =66.91                                                                                    ",,,,,,,
3,80,"PLA"," ",69.23,"KINGVALE INTERCHANGE                                                                                          ",4400,38500,27500,4700,40000,28500,
3,80,"PLA"," ",69.77,"PLACER COUNTY                                                                                                 ","      ","       ","       ","      ","       ","       ",
3,80,"NEV"," ",0,"NEVADA COUNTY                                                                                                 ","      ","       ","       ","      ","       ","       ",
3,80,"NEV","R",2.48,"SODA SPRINGS, SODA   SPRINGS INTERCHANGE                                                                      ",3600,27000,24500,3650,27000,24600,
3,80,"NEV","R",5.07,"CASTLE PEAK INTERCHANGE                                                                                       ",3650,27000,24600,4600,40500,28500,
3,80,"NEV","R",5.52,"DONNER SUMMIT SAFETY   ROADSIDE REST AREAS  (SUMMIT, ELEV. 7227 FEET)                                         ","      ","       ","       ","      ","       ","       ",
3,80,"NEV","R",9.01,"DONNER LAKE INTERCHANGE                                                                                       ",4600,40500,28500,3850,36000,26500,
3,80,"NEV"," ",13.21,"TRUCKEE, DONNER PARK INTERCHANGE                                                                              ",4500,43500,30000,4250,41000,28500,
3,80,"NEV"," ",14.16,"TRUCKEE, JCT. RTE. 89 SOUTH                                                                                   ",4400,31000,26000,3900,33000,30000,
3,80,"NEV"," ",14.97,"WEST TRUCKEE INTERCHANGE                                                                                      ",3900,33000,30000,4100,40500,29500,
3,80,"NEV"," ",16.29,"JCT. RTE. 89 NORTH, JCT.   RTE. 267 SOUTH; TRUCKEE, EAST                                                      ",4100,40500,29500,3350,34500,26500,
3,80,"NEV"," ",18.28,"TRUCKEE, POLARIS INTER=   CHANGE, TRUCKEE AIRPORT ROAD                                                        ",3350,34500,26500,3050,32000,25500,
3,80,"NEV"," ",22.41,"HIRSCHDALE ROAD OVERHEAD (BOCA)                                                                               ",3050,32000,25500,3150,35500,24800,
3,80,"NEV"," ",27.29,"TRUCKEE RIVER INTERCHANGE   (FLORISTON)                                                                       ",3150,35500,24800,3000,32500,24000,
3,80,"NEV"," ",29.49,"FARAD INTERCHANGE                                                                                             ",3000,32500,24000,3000,32500,24000,
3,80,"NEV"," ",31.78,"NEVADA COUNTY                                                                                                 ","      ","       ","       ","      ","       ","       ",
3,80,"SIE"," ",0,"SIERRA COUNTY NEVADA STATE LINE                                                                               ",3000,34000,24300,"      ","       ","       ",
4,82,"SCL"," ","       ","SANTA CLARA COUNTY                                                                                            ","      ","       ","       ","      ","       ","       ",
4,82,"SCL","R",0,"SAN JOSE, JCT. RTE. 101                                                                                       ","      ","       ","       ",6100,59000,56000,
4,82,"SCL","R",0.35,"SAN JOSE, BLOSSOM HILL ROAD                                                                                   ",6100,59000,56000,2600,26000,24500,
4,82,"SCL","R",0.38,"MILEPOST EQUATION   =0.35                                                                                     ",,,,,,,
4,82,"SCL"," ",2.81,"SAN JOSE, CAPITOL   EXPRESSWAY INTERCHANGE                                                                    ",3100,31000,29500,3100,32000,30000,
4,82,"SCL"," ",4.68,"SAN JOSE, TULLY/PETTIS ROADS                                                                                  ",3400,33500,31500,3100,32500,30500,
